epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.254728,0.695473,0.695473,0.00e+00,1.00e-03
1,1.420143,0.695473,0.695473,0.00e+00,1.00e-03
2,1.464921,0.695473,0.695473,0.00e+00,1.00e-03
3,1.483199,0.695473,0.695473,0.00e+00,1.00e-03
4,1.505070,0.695473,0.695473,0.00e+00,1.00e-03
5,1.224670,0.717421,0.699863,1.00e-05,5.00e-04
6,1.113990,0.717421,0.703374,1.00e-05,5.00e-04
7,1.030687,0.717421,0.706184,1.00e-05,5.00e-04
8,1.026693,0.717421,0.708431,1.00e-05,5.00e-04
9,0.988296,0.717421,0.710229,1.00e-05,5.00e-04
10,0.971690,0.747599,0.717703,1.00e-05,5.00e-04
11,0.967230,0.747599,0.723683,1.00e-05,5.00e-04
12,0.959150,0.747599,0.728466,1.00e-05,5.00e-04
13,0.953525,0.747599,0.732293,1.00e-05,5.00e-04
14,0.962540,0.747599,0.735354,1.00e-05,5.00e-04
15,0.908537,0.705075,0.729298,3.00e-05,3.00e-04
16,0.862428,0.705075,0.724454,3.00e-05,3.00e-04
17,0.847523,0.705075,0.720578,3.00e-05,3.00e-04
18,0.828380,0.705075,0.717478,3.00e-05,3.00e-04
19,0.827824,0.705075,0.714997,3.00e-05,3.00e-04
20,0.820745,0.654321,0.702862,3.00e-05,3.00e-04
21,0.815091,0.654321,0.693154,3.00e-05,3.00e-04
22,0.812337,0.654321,0.685387,1.50e-05,1.50e-04
23,0.788549,0.654321,0.679174,1.50e-05,1.50e-04
24,0.767496,0.654321,0.674203,1.50e-05,1.50e-04
25,0.765100,0.721536,0.683670,1.50e-05,1.50e-04
26,0.761126,0.721536,0.691243,1.50e-05,1.50e-04
27,0.754864,0.721536,0.697302,1.50e-05,1.50e-04
28,0.749254,0.721536,0.702149,1.50e-05,1.50e-04
29,0.748099,0.721536,0.706026,1.50e-05,1.50e-04
30,0.751112,0.554184,0.675658,2.50e-05,5.00e-05
31,0.738555,0.554184,0.651363,2.50e-05,5.00e-05
32,0.730872,0.554184,0.631927,2.50e-05,5.00e-05
33,0.727714,0.554184,0.616378,2.50e-05,5.00e-05
34,0.723889,0.554184,0.603940,2.50e-05,5.00e-05
