epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.302774,0.695473,0.695473,0.00e+00,1.00e-03
1,1.439677,0.695473,0.695473,0.00e+00,1.00e-03
2,1.472043,0.695473,0.695473,0.00e+00,1.00e-03
3,1.483413,0.695473,0.695473,0.00e+00,1.00e-03
4,1.559946,0.695473,0.695473,0.00e+00,1.00e-03
5,1.202295,0.621399,0.680658,1.00e-05,5.00e-04
6,1.110556,0.621399,0.668807,1.00e-05,5.00e-04
7,1.057358,0.621399,0.659325,1.00e-05,5.00e-04
8,1.012522,0.621399,0.651740,5.00e-06,2.50e-04
9,0.932265,0.621399,0.645672,5.00e-06,2.50e-04
10,0.891065,0.613169,0.639171,5.00e-06,2.50e-04
11,0.868464,0.613169,0.633971,5.00e-06,2.50e-04
12,0.857934,0.613169,0.629810,5.00e-06,2.50e-04
13,0.850820,0.613169,0.626482,5.00e-06,2.50e-04
14,0.845311,0.613169,0.623819,5.00e-06,2.50e-04
15,0.850482,0.673525,0.633761,3.00e-05,3.00e-04
16,0.838510,0.673525,0.641714,1.50e-05,1.50e-04
17,0.817511,0.673525,0.648076,1.50e-05,1.50e-04
18,0.793505,0.673525,0.653166,1.50e-05,1.50e-04
19,0.782575,0.673525,0.657238,1.50e-05,1.50e-04
20,0.775126,0.647462,0.655283,1.50e-05,1.50e-04
