epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.280724,0.602195,0.602195,0.00e+00,1.00e-03
1,1.372069,0.602195,0.602195,0.00e+00,1.00e-03
2,1.479233,0.602195,0.602195,0.00e+00,1.00e-03
3,1.504014,0.602195,0.602195,0.00e+00,1.00e-03
4,1.490428,0.602195,0.602195,0.00e+00,1.00e-03
5,1.209381,0.561043,0.593964,1.00e-05,5.00e-04
6,1.109782,0.561043,0.587380,1.00e-05,5.00e-04
7,1.035826,0.561043,0.582112,1.00e-05,5.00e-04
8,1.015718,0.561043,0.577898,5.00e-06,2.50e-04
9,0.926353,0.561043,0.574527,5.00e-06,2.50e-04
10,0.886133,0.742112,0.608044,5.00e-06,2.50e-04
11,0.867030,0.742112,0.634858,5.00e-06,2.50e-04
12,0.855435,0.742112,0.656309,5.00e-06,2.50e-04
13,0.845397,0.742112,0.673470,5.00e-06,2.50e-04
14,0.827185,0.742112,0.687198,5.00e-06,2.50e-04
15,0.852367,0.768176,0.703394,3.00e-05,3.00e-04
16,0.843156,0.768176,0.716350,3.00e-05,3.00e-04
17,0.828326,0.768176,0.726715,3.00e-05,3.00e-04
18,0.831655,0.768176,0.735007,3.00e-05,3.00e-04
19,0.828710,0.768176,0.741641,3.00e-05,3.00e-04
20,0.821524,0.710562,0.735425,3.00e-05,3.00e-04
21,0.821085,0.710562,0.730453,3.00e-05,3.00e-04
22,0.819275,0.710562,0.726475,3.00e-05,3.00e-04
23,0.817953,0.710562,0.723292,3.00e-05,3.00e-04
24,0.812282,0.710562,0.720746,3.00e-05,3.00e-04
25,0.811622,0.683128,0.713222,3.00e-05,3.00e-04
26,0.813234,0.683128,0.707204,3.00e-05,3.00e-04
27,0.809870,0.683128,0.702388,1.50e-05,1.50e-04
28,0.783602,0.683128,0.698536,1.50e-05,1.50e-04
29,0.772814,0.683128,0.695454,1.50e-05,1.50e-04
30,0.769452,0.614540,0.679272,5.00e-05,1.00e-04
31,0.759887,0.614540,0.666325,5.00e-05,1.00e-04
32,0.754291,0.614540,0.655968,5.00e-05,1.00e-04
33,0.749471,0.614540,0.647683,5.00e-05,1.00e-04
34,0.745945,0.614540,0.641054,5.00e-05,1.00e-04
35,0.739972,0.722908,0.657425,2.50e-05,5.00e-05
36,0.730005,0.722908,0.670522,2.50e-05,5.00e-05
37,0.727704,0.722908,0.680999,2.50e-05,5.00e-05
38,0.723550,0.722908,0.689381,2.50e-05,5.00e-05
39,0.720553,0.722908,0.696086,2.50e-05,5.00e-05
