epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.293484,0.615912,0.615912,0.00e+00,1.00e-03
1,1.388248,0.615912,0.615912,0.00e+00,1.00e-03
2,1.476248,0.615912,0.615912,0.00e+00,1.00e-03
3,1.517482,0.615912,0.615912,0.00e+00,1.00e-03
4,1.574256,0.615912,0.615912,0.00e+00,1.00e-03
5,1.197039,0.648834,0.622497,1.00e-05,5.00e-04
6,1.107376,0.648834,0.627764,1.00e-05,5.00e-04
7,1.054891,0.648834,0.631978,1.00e-05,5.00e-04
8,1.028251,0.648834,0.635349,1.00e-05,5.00e-04
9,1.003596,0.648834,0.638046,1.00e-05,5.00e-04
10,0.981031,0.687243,0.647886,1.00e-05,5.00e-04
11,0.981563,0.687243,0.655757,1.00e-05,5.00e-04
12,0.968992,0.687243,0.662054,1.00e-05,5.00e-04
13,0.962428,0.687243,0.667092,1.00e-05,5.00e-04
14,0.964436,0.687243,0.671122,1.00e-05,5.00e-04
15,0.914736,0.628258,0.662549,3.00e-05,3.00e-04
16,0.873765,0.628258,0.655691,3.00e-05,3.00e-04
17,0.852230,0.628258,0.650204,3.00e-05,3.00e-04
18,0.840462,0.628258,0.645815,3.00e-05,3.00e-04
19,0.835734,0.628258,0.642304,3.00e-05,3.00e-04
20,0.828814,0.606310,0.635105,3.00e-05,3.00e-04
21,0.823197,0.606310,0.629346,3.00e-05,3.00e-04
22,0.823218,0.606310,0.624739,1.50e-05,1.50e-04
23,0.796411,0.606310,0.621053,1.50e-05,1.50e-04
24,0.782530,0.606310,0.618104,1.50e-05,1.50e-04
25,0.774527,0.670782,0.628640,1.50e-05,1.50e-04
26,0.765102,0.670782,0.637068,1.50e-05,1.50e-04
27,0.766310,0.670782,0.643811,1.50e-05,1.50e-04
28,0.759261,0.670782,0.649205,1.50e-05,1.50e-04
29,0.755323,0.670782,0.653521,1.50e-05,1.50e-04
30,0.759490,0.681756,0.659168,2.50e-05,5.00e-05
31,0.744011,0.681756,0.663685,2.50e-05,5.00e-05
32,0.738931,0.681756,0.667299,2.50e-05,5.00e-05
33,0.736088,0.681756,0.670191,2.50e-05,5.00e-05
34,0.732369,0.681756,0.672504,2.50e-05,5.00e-05
35,0.728450,0.744856,0.686974,2.50e-05,5.00e-05
36,0.728526,0.744856,0.698551,2.50e-05,5.00e-05
37,0.724137,0.744856,0.707812,2.50e-05,5.00e-05
38,0.722837,0.744856,0.715220,2.50e-05,5.00e-05
39,0.722119,0.744856,0.721148,2.50e-05,5.00e-05
40,0.720638,0.679012,0.712721,2.50e-05,5.00e-05
41,0.719718,0.679012,0.705979,2.50e-05,5.00e-05
42,0.720205,0.679012,0.700586,2.50e-05,5.00e-05
43,0.720025,0.679012,0.696271,2.50e-05,5.00e-05
44,0.718591,0.679012,0.692819,2.50e-05,5.00e-05
45,0.716444,0.673525,0.688960,2.50e-05,5.00e-05
46,0.717193,0.673525,0.685873,2.50e-05,5.00e-05
47,0.715380,0.673525,0.683404,1.25e-05,2.50e-05
48,0.713253,0.673525,0.681428,1.25e-05,2.50e-05
49,0.711632,0.673525,0.679848,1.25e-05,2.50e-05
50,0.710537,0.641975,0.672273,1.25e-05,2.50e-05
51,0.710938,0.641975,0.666214,1.25e-05,2.50e-05
52,0.709327,0.641975,0.661366,1.25e-05,2.50e-05
53,0.709660,0.641975,0.657488,1.25e-05,2.50e-05
54,0.709076,0.641975,0.654385,1.25e-05,2.50e-05
55,0.708384,0.659808,0.655470,6.25e-06,1.25e-05
56,0.706325,0.659808,0.656337,6.25e-06,1.25e-05
57,0.704543,0.659808,0.657032,6.25e-06,1.25e-05
58,0.705763,0.659808,0.657587,6.25e-06,1.25e-05
59,0.705285,0.659808,0.658031,6.25e-06,1.25e-05
