epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.283684,0.574760,0.574760,0.00e+00,1.00e-03
1,1.437314,0.574760,0.574760,0.00e+00,1.00e-03
2,1.441836,0.574760,0.574760,0.00e+00,1.00e-03
3,1.479506,0.574760,0.574760,0.00e+00,1.00e-03
4,1.492486,0.574760,0.574760,0.00e+00,1.00e-03
5,1.228477,0.530864,0.565981,1.00e-05,5.00e-04
6,1.104604,0.530864,0.558957,1.00e-05,5.00e-04
7,1.056110,0.530864,0.553339,1.00e-05,5.00e-04
8,1.018151,0.530864,0.548844,5.00e-06,2.50e-04
9,0.934936,0.530864,0.545248,5.00e-06,2.50e-04
10,0.894273,0.635117,0.563222,5.00e-06,2.50e-04
11,0.870137,0.635117,0.577601,5.00e-06,2.50e-04
12,0.853765,0.635117,0.589104,5.00e-06,2.50e-04
13,0.839866,0.635117,0.598306,5.00e-06,2.50e-04
14,0.844861,0.635117,0.605668,5.00e-06,2.50e-04
15,0.849300,0.632373,0.611009,3.00e-05,3.00e-04
16,0.840201,0.632373,0.615282,3.00e-05,3.00e-04
17,0.836435,0.632373,0.618700,3.00e-05,3.00e-04
18,0.833731,0.632373,0.621435,3.00e-05,3.00e-04
19,0.832915,0.632373,0.623623,3.00e-05,3.00e-04
20,0.826734,0.683128,0.635524,3.00e-05,3.00e-04
21,0.824411,0.683128,0.645044,3.00e-05,3.00e-04
22,0.820755,0.683128,0.652661,3.00e-05,3.00e-04
23,0.824701,0.683128,0.658754,3.00e-05,3.00e-04
24,0.817317,0.683128,0.663629,3.00e-05,3.00e-04
25,0.819864,0.618656,0.654634,3.00e-05,3.00e-04
26,0.814638,0.618656,0.647439,3.00e-05,3.00e-04
27,0.812376,0.618656,0.641682,3.00e-05,3.00e-04
28,0.810476,0.618656,0.637077,3.00e-05,3.00e-04
29,0.811997,0.618656,0.633393,3.00e-05,3.00e-04
30,0.799578,0.602195,0.627153,5.00e-05,1.00e-04
31,0.781719,0.602195,0.622161,5.00e-05,1.00e-04
32,0.770912,0.602195,0.618168,2.50e-05,5.00e-05
33,0.753444,0.602195,0.614973,2.50e-05,5.00e-05
34,0.750711,0.602195,0.612418,2.50e-05,5.00e-05
35,0.745291,0.530864,0.596107,2.50e-05,5.00e-05
36,0.735888,0.530864,0.583058,2.50e-05,5.00e-05
37,0.735286,0.530864,0.572620,2.50e-05,5.00e-05
38,0.734463,0.530864,0.564268,2.50e-05,5.00e-05
39,0.736198,0.530864,0.557588,2.50e-05,5.00e-05
