epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.198469,0.603220,0.603220,0.00e+00,1.00e-03
1,1.372608,0.603220,0.603220,0.00e+00,1.00e-03
2,1.379620,0.603220,0.603220,0.00e+00,1.00e-03
3,1.411406,0.603220,0.603220,0.00e+00,1.00e-03
4,1.409947,0.603220,0.603220,0.00e+00,1.00e-03
5,1.138910,0.571970,0.596970,1.00e-05,5.00e-04
6,1.032010,0.571970,0.591970,1.00e-05,5.00e-04
7,0.996704,0.571970,0.587970,1.00e-05,5.00e-04
8,0.969423,0.571970,0.584770,5.00e-06,2.50e-04
9,0.884439,0.571970,0.582210,5.00e-06,2.50e-04
10,0.851503,0.706439,0.607056,5.00e-06,2.50e-04
11,0.829273,0.706439,0.626932,5.00e-06,2.50e-04
12,0.818639,0.706439,0.642834,5.00e-06,2.50e-04
13,0.812677,0.706439,0.655555,5.00e-06,2.50e-04
14,0.812894,0.706439,0.665732,5.00e-06,2.50e-04
15,0.824734,0.708333,0.674252,3.00e-05,3.00e-04
16,0.812108,0.708333,0.681068,3.00e-05,3.00e-04
17,0.811944,0.708333,0.686521,3.00e-05,3.00e-04
18,0.808708,0.708333,0.690884,3.00e-05,3.00e-04
19,0.812990,0.708333,0.694374,3.00e-05,3.00e-04
20,0.803395,0.729167,0.701332,3.00e-05,3.00e-04
21,0.803081,0.729167,0.706899,3.00e-05,3.00e-04
22,0.803140,0.729167,0.711353,3.00e-05,3.00e-04
23,0.798990,0.729167,0.714915,3.00e-05,3.00e-04
24,0.797940,0.729167,0.717766,3.00e-05,3.00e-04
25,0.796352,0.723485,0.718910,3.00e-05,3.00e-04
26,0.792159,0.723485,0.719825,3.00e-05,3.00e-04
27,0.790313,0.723485,0.720557,3.00e-05,3.00e-04
28,0.793271,0.723485,0.721142,3.00e-05,3.00e-04
29,0.788366,0.723485,0.721611,3.00e-05,3.00e-04
30,0.772432,0.649621,0.707213,5.00e-05,1.00e-04
31,0.760933,0.649621,0.695695,5.00e-05,1.00e-04
32,0.746912,0.649621,0.686480,5.00e-05,1.00e-04
33,0.740886,0.649621,0.679108,5.00e-05,1.00e-04
34,0.738234,0.649621,0.673211,5.00e-05,1.00e-04
35,0.732370,0.655303,0.669629,5.00e-05,1.00e-04
36,0.728653,0.655303,0.666764,5.00e-05,1.00e-04
37,0.726972,0.655303,0.664472,2.50e-05,5.00e-05
38,0.719371,0.655303,0.662638,2.50e-05,5.00e-05
39,0.716590,0.655303,0.661171,2.50e-05,5.00e-05
40,0.714968,0.657197,0.660376,2.50e-05,5.00e-05
41,0.710957,0.657197,0.659740,2.50e-05,5.00e-05
42,0.709643,0.657197,0.659232,2.50e-05,5.00e-05
43,0.709608,0.657197,0.658825,2.50e-05,5.00e-05
44,0.709827,0.657197,0.658499,2.50e-05,5.00e-05
