epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.336124,0.599451,0.599451,0.00e+00,1.00e-03
1,1.366719,0.599451,0.599451,0.00e+00,1.00e-03
2,1.447188,0.599451,0.599451,0.00e+00,1.00e-03
3,1.556564,0.599451,0.599451,0.00e+00,1.00e-03
4,1.524128,0.599451,0.599451,0.00e+00,1.00e-03
5,1.209833,0.699588,0.619479,1.00e-05,5.00e-04
6,1.122608,0.699588,0.635501,1.00e-05,5.00e-04
7,1.045044,0.699588,0.648318,1.00e-05,5.00e-04
8,1.031292,0.699588,0.658572,1.00e-05,5.00e-04
9,0.998337,0.699588,0.666776,1.00e-05,5.00e-04
10,0.980887,0.661180,0.665656,1.00e-05,5.00e-04
11,0.984276,0.661180,0.664761,1.00e-05,5.00e-04
12,0.961150,0.661180,0.664045,1.00e-05,5.00e-04
13,0.964833,0.661180,0.663472,1.00e-05,5.00e-04
14,0.969610,0.661180,0.663013,1.00e-05,5.00e-04
15,0.906796,0.705075,0.671426,3.00e-05,3.00e-04
16,0.877284,0.705075,0.678156,3.00e-05,3.00e-04
17,0.855041,0.705075,0.683540,3.00e-05,3.00e-04
18,0.842033,0.705075,0.687847,3.00e-05,3.00e-04
19,0.832787,0.705075,0.691293,3.00e-05,3.00e-04
20,0.831608,0.519890,0.657012,3.00e-05,3.00e-04
21,0.827979,0.519890,0.629588,3.00e-05,3.00e-04
22,0.820237,0.519890,0.607648,3.00e-05,3.00e-04
23,0.820112,0.519890,0.590097,3.00e-05,3.00e-04
24,0.815838,0.519890,0.576055,3.00e-05,3.00e-04
25,0.820370,0.592593,0.579363,3.00e-05,3.00e-04
26,0.813928,0.592593,0.582009,3.00e-05,3.00e-04
27,0.814187,0.592593,0.584126,1.50e-05,1.50e-04
28,0.788984,0.592593,0.585819,1.50e-05,1.50e-04
29,0.776935,0.592593,0.587174,1.50e-05,1.50e-04
30,0.771163,0.657064,0.601152,5.00e-05,1.00e-04
31,0.761591,0.657064,0.612334,5.00e-05,1.00e-04
32,0.756422,0.657064,0.621280,5.00e-05,1.00e-04
33,0.753739,0.657064,0.628437,5.00e-05,1.00e-04
34,0.749808,0.657064,0.634163,5.00e-05,1.00e-04
