epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.281294,0.681756,0.681756,0.00e+00,1.00e-03
1,1.387668,0.681756,0.681756,0.00e+00,1.00e-03
2,1.469069,0.681756,0.681756,0.00e+00,1.00e-03
3,1.452062,0.681756,0.681756,0.00e+00,1.00e-03
4,1.496316,0.681756,0.681756,0.00e+00,1.00e-03
5,1.211613,0.617284,0.668861,1.00e-05,5.00e-04
6,1.098935,0.617284,0.658546,1.00e-05,5.00e-04
7,1.037867,0.617284,0.650294,1.00e-05,5.00e-04
8,1.004096,0.617284,0.643692,5.00e-06,2.50e-04
9,0.935033,0.617284,0.638410,5.00e-06,2.50e-04
10,0.883759,0.709191,0.652566,5.00e-06,2.50e-04
11,0.867491,0.709191,0.663891,5.00e-06,2.50e-04
12,0.859157,0.709191,0.672951,5.00e-06,2.50e-04
13,0.839851,0.709191,0.680199,5.00e-06,2.50e-04
14,0.831986,0.709191,0.685997,5.00e-06,2.50e-04
15,0.850820,0.646091,0.678016,3.00e-05,3.00e-04
16,0.839033,0.646091,0.671631,3.00e-05,3.00e-04
17,0.829780,0.646091,0.666523,3.00e-05,3.00e-04
18,0.822850,0.646091,0.662436,3.00e-05,3.00e-04
19,0.827043,0.646091,0.659167,3.00e-05,3.00e-04
20,0.820866,0.663923,0.660118,3.00e-05,3.00e-04
21,0.820979,0.663923,0.660879,3.00e-05,3.00e-04
22,0.820297,0.663923,0.661488,1.50e-05,1.50e-04
23,0.792420,0.663923,0.661975,1.50e-05,1.50e-04
24,0.779346,0.663923,0.662365,1.50e-05,1.50e-04
25,0.771924,0.629630,0.655818,1.50e-05,1.50e-04
26,0.765450,0.629630,0.650580,1.50e-05,1.50e-04
27,0.762255,0.629630,0.646390,1.50e-05,1.50e-04
28,0.757839,0.629630,0.643038,1.50e-05,1.50e-04
29,0.753179,0.629630,0.640356,1.50e-05,1.50e-04
