epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.292482,0.629630,0.629630,0.00e+00,1.00e-03
1,1.420168,0.629630,0.629630,0.00e+00,1.00e-03
2,1.446900,0.629630,0.629630,0.00e+00,1.00e-03
3,1.445081,0.629630,0.629630,0.00e+00,1.00e-03
4,1.499279,0.629630,0.629630,0.00e+00,1.00e-03
5,1.205993,0.599451,0.623594,1.00e-05,5.00e-04
6,1.113998,0.599451,0.618765,1.00e-05,5.00e-04
7,1.038869,0.599451,0.614903,1.00e-05,5.00e-04
8,1.007117,0.599451,0.611812,5.00e-06,2.50e-04
9,0.921732,0.599451,0.609340,5.00e-06,2.50e-04
10,0.882036,0.710562,0.629585,5.00e-06,2.50e-04
11,0.858431,0.710562,0.645780,5.00e-06,2.50e-04
12,0.851847,0.710562,0.658737,5.00e-06,2.50e-04
13,0.838484,0.710562,0.669102,5.00e-06,2.50e-04
14,0.834692,0.710562,0.677394,5.00e-06,2.50e-04
15,0.836267,0.558299,0.653575,3.00e-05,3.00e-04
16,0.831354,0.558299,0.634520,3.00e-05,3.00e-04
17,0.822001,0.558299,0.619276,3.00e-05,3.00e-04
18,0.829021,0.558299,0.607080,3.00e-05,3.00e-04
19,0.821720,0.558299,0.597324,3.00e-05,3.00e-04
20,0.817204,0.569273,0.591714,3.00e-05,3.00e-04
21,0.817553,0.569273,0.587226,3.00e-05,3.00e-04
22,0.804036,0.569273,0.583635,1.50e-05,1.50e-04
23,0.787796,0.569273,0.580763,1.50e-05,1.50e-04
24,0.771916,0.569273,0.578465,1.50e-05,1.50e-04
25,0.766734,0.731139,0.609000,1.50e-05,1.50e-04
26,0.760386,0.731139,0.633427,1.50e-05,1.50e-04
27,0.755790,0.731139,0.652970,1.50e-05,1.50e-04
28,0.752012,0.731139,0.668603,1.50e-05,1.50e-04
29,0.750373,0.731139,0.681110,1.50e-05,1.50e-04
30,0.749747,0.578875,0.660663,5.00e-05,1.00e-04
31,0.746233,0.578875,0.644306,5.00e-05,1.00e-04
32,0.742292,0.578875,0.631220,5.00e-05,1.00e-04
33,0.735901,0.578875,0.620751,5.00e-05,1.00e-04
34,0.732506,0.578875,0.612376,5.00e-05,1.00e-04
35,0.730623,0.770919,0.644084,5.00e-05,1.00e-04
36,0.728111,0.770919,0.669451,5.00e-05,1.00e-04
37,0.727360,0.770919,0.689745,5.00e-05,1.00e-04
38,0.727753,0.770919,0.705980,5.00e-05,1.00e-04
39,0.726727,0.770919,0.718968,5.00e-05,1.00e-04
40,0.722340,0.710562,0.717287,5.00e-05,1.00e-04
41,0.725377,0.710562,0.715942,5.00e-05,1.00e-04
42,0.724060,0.710562,0.714866,5.00e-05,1.00e-04
43,0.720975,0.710562,0.714005,5.00e-05,1.00e-04
44,0.720035,0.710562,0.713317,5.00e-05,1.00e-04
45,0.721868,0.625514,0.695756,5.00e-05,1.00e-04
46,0.717381,0.625514,0.681708,5.00e-05,1.00e-04
47,0.718592,0.625514,0.670469,2.50e-05,5.00e-05
48,0.710562,0.625514,0.661478,2.50e-05,5.00e-05
49,0.712169,0.625514,0.654285,2.50e-05,5.00e-05
50,0.709322,0.606310,0.644690,2.50e-05,5.00e-05
51,0.706784,0.606310,0.637014,2.50e-05,5.00e-05
52,0.703530,0.606310,0.630873,2.50e-05,5.00e-05
53,0.705389,0.606310,0.625961,2.50e-05,5.00e-05
54,0.705290,0.606310,0.622031,2.50e-05,5.00e-05
