epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.258967,0.501372,0.501372,0.00e+00,1.00e-03
1,1.426534,0.501372,0.501372,0.00e+00,1.00e-03
2,1.469834,0.501372,0.501372,0.00e+00,1.00e-03
3,1.479185,0.501372,0.501372,0.00e+00,1.00e-03
4,1.487962,0.501372,0.501372,0.00e+00,1.00e-03
5,1.237374,0.587106,0.518519,2.00e-06,5.00e-04
6,1.169116,0.587106,0.532236,4.00e-06,5.00e-04
7,1.123531,0.587106,0.543210,6.00e-06,5.00e-04
8,1.066323,0.587106,0.551989,8.00e-06,5.00e-04
9,1.035098,0.587106,0.559012,1.00e-05,5.00e-04
10,0.999539,0.559671,0.559144,1.00e-05,5.00e-04
11,0.999544,0.559671,0.559249,1.00e-05,5.00e-04
12,0.984410,0.559671,0.559334,1.00e-05,5.00e-04
13,0.988760,0.559671,0.559401,1.00e-05,5.00e-04
14,0.961518,0.559671,0.559455,1.00e-05,5.00e-04
15,0.920229,0.770919,0.601748,6.00e-06,3.00e-04
16,0.884644,0.770919,0.635582,1.20e-05,3.00e-04
17,0.867296,0.770919,0.662649,1.80e-05,3.00e-04
18,0.856589,0.770919,0.684303,2.40e-05,3.00e-04
19,0.852723,0.770919,0.701627,3.00e-05,3.00e-04
20,0.842993,0.643347,0.689971,3.00e-05,3.00e-04
21,0.832721,0.643347,0.680646,3.00e-05,3.00e-04
22,0.832486,0.643347,0.673186,3.00e-05,3.00e-04
23,0.829754,0.643347,0.667218,3.00e-05,3.00e-04
24,0.824806,0.643347,0.662444,3.00e-05,3.00e-04
25,0.827979,0.637860,0.657527,3.00e-05,3.00e-04
26,0.821889,0.637860,0.653594,3.00e-05,3.00e-04
27,0.820424,0.637860,0.650447,1.50e-05,1.50e-04
28,0.793596,0.637860,0.647930,1.50e-05,1.50e-04
29,0.783440,0.637860,0.645916,1.50e-05,1.50e-04
30,0.766664,0.603567,0.637446,1.00e-05,1.00e-04
31,0.761427,0.603567,0.630670,2.00e-05,1.00e-04
32,0.753146,0.603567,0.625249,3.00e-05,1.00e-04
33,0.754658,0.603567,0.620913,4.00e-05,1.00e-04
34,0.751156,0.603567,0.617444,5.00e-05,1.00e-04
35,0.750381,0.635117,0.620978,2.50e-05,5.00e-05
36,0.738583,0.635117,0.623806,2.50e-05,5.00e-05
37,0.735111,0.635117,0.626068,2.50e-05,5.00e-05
38,0.730885,0.635117,0.627878,2.50e-05,5.00e-05
39,0.730533,0.635117,0.629325,2.50e-05,5.00e-05
