epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.275482,0.759945,0.759945,0.00e+00,1.00e-03
1,1.396894,0.759945,0.759945,0.00e+00,1.00e-03
2,1.441085,0.759945,0.759945,0.00e+00,1.00e-03
3,1.478757,0.759945,0.759945,0.00e+00,1.00e-03
4,1.526889,0.759945,0.759945,0.00e+00,1.00e-03
5,1.247474,0.578875,0.723731,2.00e-06,5.00e-04
6,1.170335,0.578875,0.694760,4.00e-06,5.00e-04
7,1.105940,0.578875,0.671583,6.00e-06,5.00e-04
8,1.072280,0.578875,0.653041,8.00e-06,2.50e-04
9,0.948617,0.578875,0.638208,1.00e-05,2.50e-04
10,0.903138,0.602195,0.631005,1.00e-05,2.50e-04
11,0.877261,0.602195,0.625243,1.00e-05,2.50e-04
12,0.864270,0.602195,0.620634,1.00e-05,2.50e-04
13,0.858162,0.602195,0.616946,1.00e-05,2.50e-04
14,0.839996,0.602195,0.613996,1.00e-05,2.50e-04
15,0.847514,0.643347,0.619866,6.00e-06,3.00e-04
16,0.855200,0.643347,0.624562,1.20e-05,1.50e-04
17,0.818914,0.643347,0.628319,1.80e-05,1.50e-04
18,0.799626,0.643347,0.631325,2.40e-05,1.50e-04
19,0.793453,0.643347,0.633729,3.00e-05,1.50e-04
20,0.782961,0.637860,0.634555,3.00e-05,1.50e-04
