epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.279279,0.705075,0.705075,0.00e+00,1.00e-03
1,1.451567,0.705075,0.705075,0.00e+00,1.00e-03
2,1.471193,0.705075,0.705075,0.00e+00,1.00e-03
3,1.477332,0.705075,0.705075,0.00e+00,1.00e-03
4,1.524344,0.705075,0.705075,0.00e+00,1.00e-03
5,1.213266,0.565158,0.677092,2.00e-06,5.00e-04
6,1.173297,0.565158,0.654705,4.00e-06,5.00e-04
7,1.084730,0.565158,0.636796,6.00e-06,5.00e-04
8,1.064428,0.565158,0.622468,8.00e-06,2.50e-04
9,0.935717,0.565158,0.611006,1.00e-05,2.50e-04
10,0.894805,0.768176,0.642440,1.00e-05,2.50e-04
11,0.872498,0.768176,0.667587,1.00e-05,2.50e-04
12,0.848837,0.768176,0.687705,1.00e-05,2.50e-04
13,0.838495,0.768176,0.703799,1.00e-05,2.50e-04
14,0.840082,0.768176,0.716674,1.00e-05,2.50e-04
15,0.837205,0.587106,0.690761,6.00e-06,3.00e-04
16,0.843187,0.587106,0.670030,1.20e-05,3.00e-04
17,0.841808,0.587106,0.653445,1.80e-05,3.00e-04
18,0.837797,0.587106,0.640177,2.40e-05,3.00e-04
19,0.831516,0.587106,0.629563,3.00e-05,3.00e-04
20,0.825457,0.602195,0.624089,3.00e-05,3.00e-04
21,0.825338,0.602195,0.619710,3.00e-05,3.00e-04
22,0.818015,0.602195,0.616207,1.50e-05,1.50e-04
23,0.796244,0.602195,0.613405,1.50e-05,1.50e-04
24,0.774117,0.602195,0.611163,1.50e-05,1.50e-04
25,0.768938,0.757202,0.640370,1.50e-05,1.50e-04
26,0.764526,0.757202,0.663737,1.50e-05,1.50e-04
27,0.756550,0.757202,0.682430,1.50e-05,1.50e-04
28,0.754239,0.757202,0.697384,1.50e-05,1.50e-04
29,0.756857,0.757202,0.709348,1.50e-05,1.50e-04
30,0.745870,0.596708,0.686820,1.00e-05,5.00e-05
31,0.741245,0.596708,0.668797,2.00e-05,5.00e-05
32,0.736348,0.596708,0.654379,3.00e-05,5.00e-05
33,0.732541,0.596708,0.642845,4.00e-05,5.00e-05
34,0.730578,0.596708,0.633618,5.00e-05,5.00e-05
