epoch,train_loss,val_loss,lr,mask_ratio
0,0.11768571,0.01497658,9.99e-05,0.20
1,0.03161120,0.01419428,9.96e-05,0.20
2,0.02062914,0.01345566,9.91e-05,0.20
3,0.01628505,0.01407055,9.84e-05,0.20
4,0.01387650,0.01443848,9.76e-05,0.20
5,0.01245446,0.01339007,9.65e-05,0.20
6,0.01162086,0.01491884,9.53e-05,0.20
7,0.01115201,0.01401096,9.39e-05,0.20
8,0.01064220,0.01452303,9.23e-05,0.20
9,0.01013756,0.01555224,9.05e-05,0.20
10,0.00981207,0.01482773,8.86e-05,0.20
11,0.00967269,0.01475428,8.66e-05,0.20
12,0.00940109,0.01500839,8.44e-05,0.20
13,0.00935559,0.01502552,8.21e-05,0.20
14,0.00906097,0.01470035,7.96e-05,0.20
15,0.00909907,0.01382952,7.70e-05,0.20
16,0.00882394,0.01464073,7.43e-05,0.20
17,0.00890645,0.01448395,7.16e-05,0.20
18,0.00867147,0.01522644,6.87e-05,0.20
19,0.00866242,0.01426893,6.58e-05,0.20
20,0.00860670,0.01585646,6.28e-05,0.30
21,0.00850766,0.01548615,5.98e-05,0.30
22,0.00840467,0.01605577,5.67e-05,0.30
23,0.00856071,0.01495776,5.36e-05,0.30
24,0.00843778,0.01507925,5.05e-05,0.30
25,0.00824784,0.01544542,4.74e-05,0.30
26,0.00826047,0.01520390,4.43e-05,0.30
27,0.00829116,0.01483733,4.12e-05,0.30
28,0.00826363,0.01531358,3.82e-05,0.30
29,0.00818461,0.01593028,3.52e-05,0.30
30,0.00810278,0.01490142,3.23e-05,0.30
31,0.00816590,0.01559013,2.94e-05,0.30
32,0.00815974,0.01536842,2.67e-05,0.30
33,0.00808661,0.01560680,2.40e-05,0.30
34,0.00809784,0.01502556,2.14e-05,0.30
35,0.00803026,0.01550081,1.89e-05,0.30
36,0.00800359,0.01553090,1.66e-05,0.30
37,0.00802487,0.01569156,1.44e-05,0.30
38,0.00802011,0.01545029,1.24e-05,0.30
39,0.00803976,0.01527600,1.05e-05,0.30
40,0.00796061,0.01579068,8.71e-06,0.30
41,0.00798128,0.01546556,7.12e-06,0.30
42,0.00795455,0.01587891,5.71e-06,0.30
43,0.00794129,0.01570880,4.48e-06,0.30
44,0.00788640,0.01510158,3.42e-06,0.30
45,0.00793527,0.01505351,2.56e-06,0.30
46,0.00798646,0.01513635,1.88e-06,0.30
47,0.00786834,0.01494824,1.39e-06,0.30
48,0.00803369,0.01527848,1.10e-06,0.30
49,0.00795464,0.01542279,1.00e-04,0.30
50,0.00825385,0.01537131,1.00e-04,0.40
51,0.00804776,0.01626931,9.99e-05,0.40
52,0.00819994,0.01736906,9.98e-05,0.40
53,0.00813004,0.01687440,9.96e-05,0.40
54,0.00800837,0.01641966,9.94e-05,0.40
55,0.00803923,0.01650186,9.91e-05,0.40
