epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.316250,0.572016,0.572016,0.00e+00,1.00e-03
1,1.434972,0.572016,0.572016,0.00e+00,1.00e-03
2,1.461851,0.572016,0.572016,0.00e+00,1.00e-03
3,1.487588,0.572016,0.572016,0.00e+00,1.00e-03
4,1.544674,0.572016,0.572016,0.00e+00,1.00e-03
5,1.259711,0.507545,0.559122,2.00e-06,5.00e-04
6,1.153060,0.507545,0.548807,4.00e-06,5.00e-04
7,1.118022,0.507545,0.540554,6.00e-06,5.00e-04
8,1.063559,0.507545,0.533952,8.00e-06,2.50e-04
9,0.946356,0.507545,0.528671,1.00e-05,2.50e-04
10,0.900428,0.687243,0.560385,1.00e-05,2.50e-04
11,0.876908,0.687243,0.585757,1.00e-05,2.50e-04
12,0.861762,0.687243,0.606054,1.00e-05,2.50e-04
13,0.850842,0.687243,0.622292,1.00e-05,2.50e-04
14,0.844505,0.687243,0.635282,1.00e-05,2.50e-04
15,0.850429,0.648834,0.637992,6.00e-06,3.00e-04
16,0.850807,0.648834,0.640161,1.20e-05,3.00e-04
17,0.857046,0.648834,0.641895,1.80e-05,3.00e-04
18,0.850813,0.648834,0.643283,2.40e-05,3.00e-04
19,0.846553,0.648834,0.644393,3.00e-05,3.00e-04
20,0.839079,0.620027,0.639520,3.00e-05,3.00e-04
21,0.830079,0.620027,0.635622,3.00e-05,3.00e-04
22,0.826262,0.620027,0.632503,3.00e-05,3.00e-04
23,0.827799,0.620027,0.630008,3.00e-05,3.00e-04
24,0.826461,0.620027,0.628012,3.00e-05,3.00e-04
25,0.830096,0.613169,0.625043,3.00e-05,3.00e-04
26,0.822229,0.613169,0.622668,3.00e-05,3.00e-04
27,0.821226,0.613169,0.620768,1.50e-05,1.50e-04
28,0.801457,0.613169,0.619248,1.50e-05,1.50e-04
29,0.783496,0.613169,0.618032,1.50e-05,1.50e-04
30,0.767853,0.629630,0.620352,1.00e-05,1.00e-04
31,0.763410,0.629630,0.622207,2.00e-05,1.00e-04
32,0.757278,0.629630,0.623692,3.00e-05,1.00e-04
33,0.755920,0.629630,0.624879,4.00e-05,1.00e-04
34,0.750535,0.629630,0.625829,5.00e-05,1.00e-04
35,0.750695,0.562414,0.613146,2.50e-05,5.00e-05
36,0.739218,0.562414,0.603000,2.50e-05,5.00e-05
37,0.736412,0.562414,0.594883,2.50e-05,5.00e-05
38,0.733924,0.562414,0.588389,2.50e-05,5.00e-05
39,0.734496,0.562414,0.583194,2.50e-05,5.00e-05
