epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.239493,0.613169,0.613169,0.00e+00,1.00e-03
1,1.410167,0.613169,0.613169,0.00e+00,1.00e-03
2,1.459270,0.613169,0.613169,0.00e+00,1.00e-03
3,1.470785,0.613169,0.613169,0.00e+00,1.00e-03
4,1.524781,0.613169,0.613169,0.00e+00,1.00e-03
5,1.244013,0.672154,0.624966,2.00e-06,5.00e-04
6,1.167683,0.672154,0.634403,4.00e-06,5.00e-04
7,1.105714,0.672154,0.641953,6.00e-06,5.00e-04
8,1.048706,0.672154,0.647993,8.00e-06,5.00e-04
9,1.040467,0.672154,0.652825,1.00e-05,5.00e-04
10,1.005923,0.713306,0.664922,1.00e-05,5.00e-04
11,0.985771,0.713306,0.674598,1.00e-05,5.00e-04
12,0.984679,0.713306,0.682340,1.00e-05,5.00e-04
13,0.968389,0.713306,0.688533,1.00e-05,5.00e-04
14,0.966027,0.713306,0.693488,1.00e-05,5.00e-04
15,0.916440,0.621399,0.679070,6.00e-06,3.00e-04
16,0.886375,0.621399,0.667536,1.20e-05,3.00e-04
17,0.872029,0.621399,0.658308,1.80e-05,3.00e-04
18,0.856615,0.621399,0.650927,2.40e-05,3.00e-04
19,0.843003,0.621399,0.645021,3.00e-05,3.00e-04
20,0.839997,0.669410,0.649899,3.00e-05,3.00e-04
21,0.827100,0.669410,0.653801,3.00e-05,3.00e-04
22,0.826729,0.669410,0.656923,1.50e-05,1.50e-04
23,0.802605,0.669410,0.659420,1.50e-05,1.50e-04
24,0.783153,0.669410,0.661418,1.50e-05,1.50e-04
25,0.779202,0.668038,0.662742,1.50e-05,1.50e-04
26,0.770742,0.668038,0.663802,1.50e-05,1.50e-04
27,0.766457,0.668038,0.664649,1.50e-05,1.50e-04
28,0.762383,0.668038,0.665327,1.50e-05,1.50e-04
29,0.756484,0.668038,0.665869,1.50e-05,1.50e-04
30,0.747176,0.652949,0.663285,1.00e-05,5.00e-05
31,0.746475,0.652949,0.661218,2.00e-05,5.00e-05
32,0.740524,0.652949,0.659564,3.00e-05,5.00e-05
33,0.739887,0.652949,0.658241,4.00e-05,5.00e-05
34,0.739426,0.652949,0.657183,5.00e-05,5.00e-05
