epoch,train_loss,val_loss,lr,mask_ratio
0,0.11770489,0.01493864,9.99e-05,0.20
1,0.03174974,0.01422811,9.96e-05,0.20
2,0.02066078,0.01364794,9.91e-05,0.20
3,0.01629008,0.01428583,9.84e-05,0.20
4,0.01389052,0.01444654,9.76e-05,0.20
5,0.01247827,0.01351437,9.65e-05,0.20
6,0.01167153,0.01467933,9.53e-05,0.20
7,0.01118467,0.01401072,9.39e-05,0.20
8,0.01067758,0.01455220,9.23e-05,0.20
9,0.01016076,0.01551099,9.05e-05,0.20
10,0.00983608,0.01477359,8.86e-05,0.20
11,0.00970634,0.01471008,8.66e-05,0.20
12,0.00942101,0.01497985,8.44e-05,0.20
13,0.00938304,0.01508343,8.21e-05,0.20
14,0.00908456,0.01472156,7.96e-05,0.20
15,0.00910530,0.01395719,7.70e-05,0.20
16,0.00883270,0.01467767,7.43e-05,0.20
17,0.00893234,0.01446400,7.16e-05,0.20
18,0.00867505,0.01533493,6.87e-05,0.20
19,0.00866905,0.01423324,6.58e-05,0.20
20,0.00863586,0.01584717,6.28e-05,0.30
21,0.00851440,0.01543359,5.98e-05,0.30
22,0.00839764,0.01600707,5.67e-05,0.30
23,0.00855598,0.01491795,5.36e-05,0.30
24,0.00844173,0.01500141,5.05e-05,0.30
25,0.00827004,0.01544386,4.74e-05,0.30
26,0.00827443,0.01533498,4.43e-05,0.30
27,0.00829103,0.01490243,4.12e-05,0.30
28,0.00826534,0.01529969,3.82e-05,0.30
29,0.00820225,0.01597950,3.52e-05,0.30
30,0.00810399,0.01493772,3.23e-05,0.30
31,0.00818710,0.01557833,2.94e-05,0.30
32,0.00816924,0.01539729,2.67e-05,0.30
33,0.00808508,0.01560421,2.40e-05,0.30
34,0.00810005,0.01497245,2.14e-05,0.30
35,0.00803239,0.01547634,1.89e-05,0.30
36,0.00800907,0.01550306,1.66e-05,0.30
37,0.00803074,0.01565405,1.44e-05,0.30
38,0.00803838,0.01539336,1.24e-05,0.30
39,0.00804081,0.01532149,1.05e-05,0.30
40,0.00796341,0.01587486,8.71e-06,0.30
41,0.00799624,0.01547639,7.12e-06,0.30
42,0.00796036,0.01579204,5.71e-06,0.30
43,0.00794409,0.01577814,4.48e-06,0.30
44,0.00789710,0.01514259,3.42e-06,0.30
45,0.00794675,0.01514889,2.56e-06,0.30
46,0.00799229,0.01509392,1.88e-06,0.30
47,0.00787125,0.01498861,1.39e-06,0.30
48,0.00803699,0.01528446,1.10e-06,0.30
49,0.00796204,0.01540287,1.00e-04,0.30
50,0.00828282,0.01527524,1.00e-04,0.40
51,0.00804584,0.01635166,9.99e-05,0.40
52,0.00820832,0.01723501,9.98e-05,0.40
53,0.00811375,0.01678468,9.96e-05,0.40
54,0.00801984,0.01643943,9.94e-05,0.40
55,0.00805576,0.01650116,9.91e-05,0.40
