epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.280590,0.529492,0.529492,0.00e+00,1.00e-03
1,1.376656,0.529492,0.529492,0.00e+00,1.00e-03
2,1.472229,0.529492,0.529492,0.00e+00,1.00e-03
3,1.490153,0.529492,0.529492,0.00e+00,1.00e-03
4,1.493622,0.529492,0.529492,0.00e+00,1.00e-03
5,1.251390,0.591221,0.541838,2.00e-06,5.00e-04
6,1.168486,0.591221,0.551715,4.00e-06,5.00e-04
7,1.118203,0.591221,0.559616,6.00e-06,5.00e-04
8,1.066464,0.591221,0.565937,8.00e-06,5.00e-04
9,1.038235,0.591221,0.570994,1.00e-05,5.00e-04
10,1.006732,0.562414,0.569278,1.00e-05,5.00e-04
11,1.001948,0.562414,0.567905,1.00e-05,5.00e-04
12,0.978122,0.562414,0.566807,1.00e-05,5.00e-04
13,0.989661,0.562414,0.565928,1.00e-05,5.00e-04
14,0.964539,0.562414,0.565226,1.00e-05,5.00e-04
15,0.912805,0.707819,0.593744,6.00e-06,3.00e-04
16,0.890601,0.707819,0.616559,1.20e-05,3.00e-04
17,0.868056,0.707819,0.634811,1.80e-05,3.00e-04
18,0.854642,0.707819,0.649413,2.40e-05,3.00e-04
19,0.851277,0.707819,0.661094,3.00e-05,3.00e-04
20,0.845284,0.552812,0.639438,3.00e-05,3.00e-04
21,0.836080,0.552812,0.622112,3.00e-05,3.00e-04
22,0.830169,0.552812,0.608252,3.00e-05,3.00e-04
23,0.831287,0.552812,0.597164,3.00e-05,3.00e-04
24,0.829847,0.552812,0.588294,3.00e-05,3.00e-04
25,0.821105,0.692730,0.609181,3.00e-05,3.00e-04
26,0.819319,0.692730,0.625891,3.00e-05,3.00e-04
27,0.818079,0.692730,0.639259,1.50e-05,1.50e-04
28,0.797207,0.692730,0.649953,1.50e-05,1.50e-04
29,0.778560,0.692730,0.658508,1.50e-05,1.50e-04
30,0.763395,0.654321,0.657671,1.00e-05,1.00e-04
31,0.761397,0.654321,0.657001,2.00e-05,1.00e-04
32,0.757158,0.654321,0.656465,3.00e-05,1.00e-04
33,0.750976,0.654321,0.656036,4.00e-05,1.00e-04
34,0.751200,0.654321,0.655693,5.00e-05,1.00e-04
35,0.750158,0.666667,0.657888,2.50e-05,5.00e-05
36,0.738829,0.666667,0.659644,2.50e-05,5.00e-05
37,0.735631,0.666667,0.661048,2.50e-05,5.00e-05
38,0.733470,0.666667,0.662172,2.50e-05,5.00e-05
39,0.731948,0.666667,0.663071,2.50e-05,5.00e-05
40,0.728117,0.657064,0.661870,2.50e-05,5.00e-05
41,0.725295,0.657064,0.660909,2.50e-05,5.00e-05
42,0.722866,0.657064,0.660140,2.50e-05,5.00e-05
43,0.724121,0.657064,0.659525,2.50e-05,5.00e-05
44,0.722886,0.657064,0.659033,2.50e-05,5.00e-05
45,0.721202,0.618656,0.650957,2.50e-05,5.00e-05
46,0.718070,0.618656,0.644497,2.50e-05,5.00e-05
47,0.719690,0.618656,0.639329,1.25e-05,2.50e-05
48,0.715161,0.618656,0.635194,1.25e-05,2.50e-05
49,0.715256,0.618656,0.631886,1.25e-05,2.50e-05
50,0.714662,0.659808,0.637471,1.25e-05,2.50e-05
51,0.713244,0.659808,0.641938,1.25e-05,2.50e-05
52,0.714342,0.659808,0.645512,1.25e-05,2.50e-05
53,0.710286,0.659808,0.648371,1.25e-05,2.50e-05
54,0.711215,0.659808,0.650659,1.25e-05,2.50e-05
55,0.709516,0.655693,0.651665,6.25e-06,1.25e-05
56,0.708287,0.655693,0.652471,6.25e-06,1.25e-05
57,0.707813,0.655693,0.653115,6.25e-06,1.25e-05
58,0.707230,0.655693,0.653631,6.25e-06,1.25e-05
59,0.707214,0.655693,0.654043,6.25e-06,1.25e-05
