epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.281954,0.681756,0.681756,0.00e+00,1.00e-03
1,1.436937,0.681756,0.681756,0.00e+00,1.00e-03
2,1.483429,0.681756,0.681756,0.00e+00,1.00e-03
3,1.486260,0.681756,0.681756,0.00e+00,1.00e-03
4,1.541412,0.681756,0.681756,0.00e+00,1.00e-03
5,1.247715,0.620027,0.669410,2.00e-06,5.00e-04
6,1.185610,0.620027,0.659534,4.00e-06,5.00e-04
7,1.118814,0.620027,0.651632,6.00e-06,5.00e-04
8,1.067721,0.620027,0.645311,8.00e-06,2.50e-04
9,0.957337,0.620027,0.640255,1.00e-05,2.50e-04
10,0.904566,0.604938,0.633191,1.00e-05,2.50e-04
11,0.878805,0.604938,0.627541,1.00e-05,2.50e-04
12,0.858603,0.604938,0.623020,1.00e-05,2.50e-04
13,0.851313,0.604938,0.619404,1.00e-05,2.50e-04
14,0.843871,0.604938,0.616511,1.00e-05,2.50e-04
15,0.847011,0.600823,0.613373,6.00e-06,3.00e-04
16,0.854012,0.600823,0.610863,1.20e-05,1.50e-04
17,0.816850,0.600823,0.608855,1.80e-05,1.50e-04
18,0.800333,0.600823,0.607249,2.40e-05,1.50e-04
19,0.792981,0.600823,0.605964,3.00e-05,1.50e-04
20,0.786716,0.665295,0.617830,3.00e-05,1.50e-04
21,0.776568,0.665295,0.627323,3.00e-05,1.50e-04
22,0.775519,0.665295,0.634917,3.00e-05,1.50e-04
23,0.769275,0.665295,0.640993,3.00e-05,1.50e-04
24,0.771402,0.665295,0.645853,1.50e-05,7.50e-05
25,0.753678,0.636488,0.643980,1.50e-05,7.50e-05
26,0.747880,0.636488,0.642482,1.50e-05,7.50e-05
27,0.745187,0.636488,0.641283,1.50e-05,7.50e-05
28,0.742420,0.636488,0.640324,1.50e-05,7.50e-05
29,0.739825,0.636488,0.639557,1.50e-05,7.50e-05
30,0.740640,0.581619,0.627969,1.00e-05,1.00e-04
31,0.742191,0.581619,0.618699,2.00e-05,1.00e-04
32,0.739225,0.581619,0.611283,3.00e-05,5.00e-05
33,0.737842,0.581619,0.605350,4.00e-05,5.00e-05
34,0.737441,0.581619,0.600604,5.00e-05,5.00e-05
35,0.734844,0.573388,0.595161,5.00e-05,5.00e-05
36,0.732236,0.573388,0.590806,5.00e-05,5.00e-05
37,0.732403,0.573388,0.587323,5.00e-05,5.00e-05
38,0.730625,0.573388,0.584536,5.00e-05,5.00e-05
39,0.727396,0.573388,0.582306,5.00e-05,5.00e-05
40,0.726196,0.613169,0.588479,2.50e-05,2.50e-05
41,0.719404,0.613169,0.593417,2.50e-05,2.50e-05
42,0.717417,0.613169,0.597367,2.50e-05,2.50e-05
43,0.717673,0.613169,0.600527,2.50e-05,2.50e-05
44,0.714412,0.613169,0.603056,2.50e-05,2.50e-05
45,0.715508,0.684499,0.619344,2.50e-05,2.50e-05
46,0.713662,0.684499,0.632375,2.50e-05,2.50e-05
47,0.714621,0.684499,0.642800,2.50e-05,2.50e-05
48,0.712975,0.684499,0.651140,1.25e-05,1.25e-05
49,0.712120,0.684499,0.657812,1.25e-05,1.25e-05
