epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.235356,0.583333,0.583333,0.00e+00,1.00e-03
1,1.381264,0.583333,0.583333,0.00e+00,1.00e-03
2,1.399697,0.583333,0.583333,0.00e+00,1.00e-03
3,1.370398,0.583333,0.583333,0.00e+00,1.00e-03
4,1.433422,0.583333,0.583333,0.00e+00,1.00e-03
5,1.172258,0.611742,0.589015,2.00e-06,5.00e-04
6,1.097552,0.611742,0.593561,4.00e-06,5.00e-04
7,1.050104,0.611742,0.597197,6.00e-06,5.00e-04
8,1.001758,0.611742,0.600106,8.00e-06,5.00e-04
9,0.979883,0.611742,0.602433,1.00e-05,5.00e-04
10,0.963099,0.664773,0.614901,1.00e-05,5.00e-04
11,0.955592,0.664773,0.624876,1.00e-05,5.00e-04
12,0.951114,0.664773,0.632855,1.00e-05,5.00e-04
13,0.933653,0.664773,0.639239,1.00e-05,5.00e-04
14,0.931790,0.664773,0.644345,1.00e-05,5.00e-04
15,0.889124,0.714015,0.658279,6.00e-06,3.00e-04
16,0.857973,0.714015,0.669426,1.20e-05,3.00e-04
17,0.835713,0.714015,0.678344,1.80e-05,3.00e-04
18,0.832489,0.714015,0.685478,2.40e-05,3.00e-04
19,0.821400,0.714015,0.691186,3.00e-05,3.00e-04
20,0.816678,0.592803,0.671509,3.00e-05,3.00e-04
21,0.812594,0.592803,0.655768,3.00e-05,3.00e-04
22,0.808061,0.592803,0.643175,3.00e-05,3.00e-04
23,0.808101,0.592803,0.633101,3.00e-05,3.00e-04
24,0.800432,0.592803,0.625041,3.00e-05,3.00e-04
25,0.803155,0.774621,0.654957,3.00e-05,3.00e-04
26,0.797373,0.774621,0.678890,3.00e-05,3.00e-04
27,0.800524,0.774621,0.698036,3.00e-05,3.00e-04
28,0.796258,0.774621,0.713353,3.00e-05,3.00e-04
29,0.792340,0.774621,0.725607,3.00e-05,3.00e-04
30,0.769177,0.640152,0.708516,1.00e-05,1.00e-04
31,0.759446,0.640152,0.694843,2.00e-05,1.00e-04
32,0.749661,0.640152,0.683905,3.00e-05,1.00e-04
33,0.745450,0.640152,0.675154,4.00e-05,1.00e-04
34,0.739273,0.640152,0.668154,5.00e-05,1.00e-04
35,0.738218,0.695076,0.673538,5.00e-05,1.00e-04
36,0.736205,0.695076,0.677846,5.00e-05,1.00e-04
37,0.729918,0.695076,0.681292,2.50e-05,5.00e-05
38,0.722580,0.695076,0.684048,2.50e-05,5.00e-05
39,0.717480,0.695076,0.686254,2.50e-05,5.00e-05
40,0.717272,0.619318,0.672867,2.50e-05,5.00e-05
41,0.713521,0.619318,0.662157,2.50e-05,5.00e-05
42,0.714119,0.619318,0.653589,2.50e-05,5.00e-05
43,0.711652,0.619318,0.646735,2.50e-05,5.00e-05
44,0.710217,0.619318,0.641252,2.50e-05,5.00e-05
45,0.710072,0.666667,0.646335,1.25e-05,2.50e-05
46,0.704876,0.666667,0.650401,1.25e-05,2.50e-05
47,0.704522,0.666667,0.653654,1.25e-05,2.50e-05
48,0.703398,0.666667,0.656257,1.25e-05,2.50e-05
49,0.703824,0.666667,0.658339,1.25e-05,2.50e-05
