epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.281379,0.569273,0.569273,0.00e+00,1.00e-03
1,1.465504,0.569273,0.569273,0.00e+00,1.00e-03
2,1.487220,0.569273,0.569273,0.00e+00,1.00e-03
3,1.509478,0.569273,0.569273,0.00e+00,1.00e-03
4,1.488548,0.569273,0.569273,0.00e+00,1.00e-03
5,1.234147,0.680384,0.591495,2.00e-06,5.00e-04
6,1.174914,0.680384,0.609273,4.00e-06,5.00e-04
7,1.107637,0.680384,0.623495,6.00e-06,5.00e-04
8,1.063895,0.680384,0.634873,8.00e-06,5.00e-04
9,1.019302,0.680384,0.643975,1.00e-05,5.00e-04
10,1.004263,0.742112,0.663603,1.00e-05,5.00e-04
11,0.983924,0.742112,0.679305,1.00e-05,5.00e-04
12,0.987950,0.742112,0.691866,1.00e-05,5.00e-04
13,0.982236,0.742112,0.701915,1.00e-05,5.00e-04
14,0.970288,0.742112,0.709955,1.00e-05,5.00e-04
15,0.912200,0.595336,0.687031,6.00e-06,3.00e-04
16,0.882977,0.595336,0.668692,1.20e-05,3.00e-04
17,0.869095,0.595336,0.654021,1.80e-05,3.00e-04
18,0.854736,0.595336,0.642284,2.40e-05,3.00e-04
19,0.844140,0.595336,0.632894,3.00e-05,3.00e-04
20,0.833841,0.709191,0.648154,3.00e-05,3.00e-04
21,0.837449,0.709191,0.660361,3.00e-05,3.00e-04
22,0.824773,0.709191,0.670127,1.50e-05,1.50e-04
23,0.797111,0.709191,0.677940,1.50e-05,1.50e-04
24,0.785605,0.709191,0.684190,1.50e-05,1.50e-04
25,0.775282,0.668038,0.680960,1.50e-05,1.50e-04
26,0.772264,0.668038,0.678375,1.50e-05,1.50e-04
27,0.762891,0.668038,0.676308,1.50e-05,1.50e-04
28,0.762216,0.668038,0.674654,1.50e-05,1.50e-04
29,0.763291,0.668038,0.673331,1.50e-05,1.50e-04
30,0.752761,0.659808,0.670626,1.00e-05,5.00e-05
31,0.743522,0.659808,0.668463,2.00e-05,5.00e-05
32,0.736442,0.659808,0.666732,3.00e-05,5.00e-05
33,0.741084,0.659808,0.665347,4.00e-05,5.00e-05
34,0.739332,0.659808,0.664239,5.00e-05,5.00e-05
35,0.732852,0.714678,0.674327,5.00e-05,5.00e-05
36,0.730094,0.714678,0.682397,5.00e-05,5.00e-05
37,0.730362,0.714678,0.688853,5.00e-05,5.00e-05
38,0.730260,0.714678,0.694018,2.50e-05,2.50e-05
39,0.721402,0.714678,0.698150,2.50e-05,2.50e-05
40,0.718878,0.746228,0.707766,2.50e-05,2.50e-05
41,0.717008,0.746228,0.715458,2.50e-05,2.50e-05
42,0.716737,0.746228,0.721612,2.50e-05,2.50e-05
43,0.714762,0.746228,0.726535,2.50e-05,2.50e-05
44,0.712918,0.746228,0.730474,2.50e-05,2.50e-05
45,0.711973,0.669410,0.718261,2.50e-05,2.50e-05
46,0.711926,0.669410,0.708491,2.50e-05,2.50e-05
47,0.711559,0.669410,0.700675,2.50e-05,2.50e-05
48,0.711816,0.669410,0.694422,2.50e-05,2.50e-05
49,0.709565,0.669410,0.689419,2.50e-05,2.50e-05
50,0.709207,0.717421,0.695020,2.50e-05,2.50e-05
51,0.708544,0.717421,0.699500,2.50e-05,2.50e-05
52,0.706397,0.717421,0.703084,1.25e-05,1.25e-05
53,0.705798,0.717421,0.705952,1.25e-05,1.25e-05
54,0.703659,0.717421,0.708246,1.25e-05,1.25e-05
55,0.703002,0.699588,0.706514,1.25e-05,1.25e-05
56,0.703873,0.699588,0.705129,1.25e-05,1.25e-05
57,0.701405,0.699588,0.704021,1.25e-05,1.25e-05
58,0.703772,0.699588,0.703134,1.25e-05,1.25e-05
59,0.702226,0.699588,0.702425,1.25e-05,1.25e-05
60,0.701387,0.685871,0.699114,6.25e-06,6.25e-06
61,0.700199,0.685871,0.696466,6.25e-06,6.25e-06
62,0.697911,0.685871,0.694347,6.25e-06,6.25e-06
63,0.699462,0.685871,0.692652,6.25e-06,6.25e-06
64,0.701047,0.685871,0.691296,6.25e-06,6.25e-06
