epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.282110,0.769547,0.769547,0.00e+00,1.00e-03
1,1.413269,0.769547,0.769547,0.00e+00,1.00e-03
2,1.454669,0.769547,0.769547,0.00e+00,1.00e-03
3,1.488357,0.769547,0.769547,0.00e+00,1.00e-03
4,1.533789,0.769547,0.769547,0.00e+00,1.00e-03
5,1.212346,0.598080,0.735254,2.00e-06,5.00e-04
6,1.157013,0.598080,0.707819,4.00e-06,5.00e-04
7,1.121900,0.598080,0.685871,6.00e-06,5.00e-04
8,1.069334,0.598080,0.668313,8.00e-06,2.50e-04
9,0.953907,0.598080,0.654266,1.00e-05,2.50e-04
10,0.902508,0.652949,0.654003,1.00e-05,2.50e-04
11,0.873557,0.652949,0.653792,1.00e-05,2.50e-04
12,0.858278,0.652949,0.653623,1.00e-05,2.50e-04
13,0.845868,0.652949,0.653489,1.00e-05,2.50e-04
14,0.840017,0.652949,0.653381,1.00e-05,2.50e-04
15,0.846465,0.658436,0.654392,6.00e-06,3.00e-04
16,0.850786,0.658436,0.655201,1.20e-05,1.50e-04
17,0.817559,0.658436,0.655848,1.80e-05,1.50e-04
18,0.802740,0.658436,0.656365,2.40e-05,1.50e-04
19,0.790970,0.658436,0.656780,3.00e-05,1.50e-04
20,0.784206,0.637860,0.652996,3.00e-05,1.50e-04
21,0.779041,0.637860,0.649969,3.00e-05,1.50e-04
22,0.771832,0.637860,0.647547,3.00e-05,1.50e-04
23,0.768372,0.637860,0.645610,3.00e-05,1.50e-04
24,0.762766,0.637860,0.644060,1.50e-05,7.50e-05
25,0.752291,0.658436,0.646935,1.50e-05,7.50e-05
26,0.748182,0.658436,0.649235,1.50e-05,7.50e-05
27,0.742977,0.658436,0.651075,1.50e-05,7.50e-05
28,0.740230,0.658436,0.652548,1.50e-05,7.50e-05
29,0.735695,0.658436,0.653725,1.50e-05,7.50e-05
30,0.735157,0.669410,0.656862,1.00e-05,1.00e-04
31,0.738583,0.669410,0.659372,2.00e-05,1.00e-04
32,0.739439,0.669410,0.661380,3.00e-05,5.00e-05
33,0.737142,0.669410,0.662986,4.00e-05,5.00e-05
34,0.732501,0.669410,0.664271,5.00e-05,5.00e-05
35,0.733606,0.692730,0.669962,5.00e-05,5.00e-05
36,0.730003,0.692730,0.674516,5.00e-05,5.00e-05
37,0.728422,0.692730,0.678159,5.00e-05,5.00e-05
38,0.727233,0.692730,0.681073,5.00e-05,5.00e-05
39,0.725691,0.692730,0.683404,5.00e-05,5.00e-05
40,0.725459,0.655693,0.677862,2.50e-05,2.50e-05
41,0.718135,0.655693,0.673428,2.50e-05,2.50e-05
42,0.715087,0.655693,0.669881,2.50e-05,2.50e-05
43,0.715174,0.655693,0.667043,2.50e-05,2.50e-05
44,0.712929,0.655693,0.664773,2.50e-05,2.50e-05
45,0.713029,0.650206,0.661860,2.50e-05,2.50e-05
46,0.712528,0.650206,0.659529,2.50e-05,2.50e-05
47,0.711906,0.650206,0.657664,2.50e-05,2.50e-05
48,0.711316,0.650206,0.656173,1.25e-05,1.25e-05
49,0.708656,0.650206,0.654979,1.25e-05,1.25e-05
