epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.256535,0.694102,0.694102,0.00e+00,1.00e-03
1,1.392811,0.694102,0.694102,0.00e+00,1.00e-03
2,1.476730,0.694102,0.694102,0.00e+00,1.00e-03
3,1.556699,0.694102,0.694102,0.00e+00,1.00e-03
4,1.495062,0.694102,0.694102,0.00e+00,1.00e-03
5,1.253637,0.626886,0.680658,2.00e-06,5.00e-04
6,1.193960,0.626886,0.669904,4.00e-06,5.00e-04
7,1.110784,0.626886,0.661300,6.00e-06,5.00e-04
8,1.058308,0.626886,0.654418,8.00e-06,2.50e-04
9,0.936174,0.626886,0.648911,1.00e-05,2.50e-04
10,0.899926,0.613169,0.641763,1.00e-05,2.50e-04
11,0.875798,0.613169,0.636044,1.00e-05,2.50e-04
12,0.861029,0.613169,0.631469,1.00e-05,2.50e-04
13,0.840378,0.613169,0.627809,1.00e-05,2.50e-04
14,0.836639,0.613169,0.624881,1.00e-05,2.50e-04
15,0.852222,0.683128,0.636530,6.00e-06,3.00e-04
16,0.846306,0.683128,0.645850,1.20e-05,1.50e-04
17,0.818191,0.683128,0.653305,1.80e-05,1.50e-04
18,0.796904,0.683128,0.659270,2.40e-05,1.50e-04
19,0.793734,0.683128,0.664041,3.00e-05,1.50e-04
20,0.779588,0.676269,0.666487,3.00e-05,1.50e-04
21,0.773248,0.676269,0.668443,3.00e-05,1.50e-04
22,0.770960,0.676269,0.670008,3.00e-05,1.50e-04
23,0.762620,0.676269,0.671260,3.00e-05,1.50e-04
24,0.766204,0.676269,0.672262,1.50e-05,7.50e-05
25,0.748110,0.655693,0.668948,1.50e-05,7.50e-05
26,0.745499,0.655693,0.666297,1.50e-05,7.50e-05
27,0.739298,0.655693,0.664176,1.50e-05,7.50e-05
28,0.739334,0.655693,0.662480,1.50e-05,7.50e-05
29,0.736144,0.655693,0.661122,1.50e-05,7.50e-05
30,0.736577,0.662551,0.661408,1.00e-05,1.00e-04
31,0.734082,0.662551,0.661637,2.00e-05,1.00e-04
32,0.738205,0.662551,0.661820,3.00e-05,5.00e-05
33,0.731103,0.662551,0.661966,4.00e-05,5.00e-05
34,0.734000,0.662551,0.662083,5.00e-05,5.00e-05
35,0.730724,0.750343,0.679735,5.00e-05,5.00e-05
36,0.727779,0.750343,0.693857,5.00e-05,5.00e-05
37,0.726892,0.750343,0.705154,5.00e-05,5.00e-05
38,0.725063,0.750343,0.714192,5.00e-05,5.00e-05
39,0.722693,0.750343,0.721422,5.00e-05,5.00e-05
40,0.719299,0.722908,0.721719,5.00e-05,5.00e-05
41,0.719979,0.722908,0.721957,5.00e-05,5.00e-05
42,0.718610,0.722908,0.722147,5.00e-05,5.00e-05
43,0.716996,0.722908,0.722299,5.00e-05,5.00e-05
44,0.719357,0.722908,0.722421,5.00e-05,5.00e-05
45,0.717698,0.654321,0.708801,5.00e-05,5.00e-05
46,0.715650,0.654321,0.697905,5.00e-05,5.00e-05
47,0.714492,0.654321,0.689188,5.00e-05,5.00e-05
48,0.713551,0.654321,0.682215,5.00e-05,5.00e-05
49,0.712479,0.654321,0.676636,5.00e-05,5.00e-05
50,0.712697,0.717421,0.684793,5.00e-05,5.00e-05
51,0.713121,0.717421,0.691319,5.00e-05,5.00e-05
52,0.713469,0.717421,0.696539,2.50e-05,2.50e-05
53,0.708386,0.717421,0.700716,2.50e-05,2.50e-05
54,0.707242,0.717421,0.704057,2.50e-05,2.50e-05
55,0.705477,0.721536,0.707553,2.50e-05,2.50e-05
56,0.704923,0.721536,0.710349,2.50e-05,2.50e-05
57,0.704105,0.721536,0.712587,2.50e-05,2.50e-05
58,0.702838,0.721536,0.714377,2.50e-05,2.50e-05
59,0.701941,0.721536,0.715809,2.50e-05,2.50e-05
60,0.702938,0.651578,0.702962,1.25e-05,1.25e-05
61,0.699740,0.651578,0.692685,1.25e-05,1.25e-05
62,0.699262,0.651578,0.684464,1.25e-05,1.25e-05
63,0.699422,0.651578,0.677887,1.25e-05,1.25e-05
64,0.699058,0.651578,0.672625,1.25e-05,1.25e-05
