epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.299239,0.591221,0.591221,0.00e+00,1.00e-03
1,1.395934,0.591221,0.591221,0.00e+00,1.00e-03
2,1.438071,0.591221,0.591221,0.00e+00,1.00e-03
3,1.490821,0.591221,0.591221,0.00e+00,1.00e-03
4,1.565649,0.591221,0.591221,0.00e+00,1.00e-03
5,1.227967,0.576132,0.588203,2.00e-06,5.00e-04
6,1.175526,0.576132,0.585789,4.00e-06,5.00e-04
7,1.104260,0.576132,0.583857,6.00e-06,5.00e-04
8,1.085195,0.576132,0.582312,8.00e-06,2.50e-04
9,0.950380,0.576132,0.581076,1.00e-05,2.50e-04
10,0.899932,0.640604,0.592982,1.00e-05,2.50e-04
11,0.870821,0.640604,0.602506,1.00e-05,2.50e-04
12,0.868063,0.640604,0.610126,1.00e-05,2.50e-04
13,0.852039,0.640604,0.616221,1.00e-05,2.50e-04
14,0.843849,0.640604,0.621098,1.00e-05,2.50e-04
15,0.845668,0.643347,0.625547,6.00e-06,3.00e-04
16,0.859850,0.643347,0.629107,1.20e-05,3.00e-04
17,0.847346,0.643347,0.631955,1.80e-05,3.00e-04
18,0.854556,0.643347,0.634234,2.40e-05,3.00e-04
19,0.840560,0.643347,0.636056,3.00e-05,3.00e-04
20,0.840647,0.665295,0.641904,3.00e-05,3.00e-04
21,0.835107,0.665295,0.646582,3.00e-05,3.00e-04
22,0.834841,0.665295,0.650325,3.00e-05,3.00e-04
23,0.827583,0.665295,0.653319,3.00e-05,3.00e-04
24,0.819822,0.665295,0.655714,3.00e-05,3.00e-04
25,0.821126,0.620027,0.648577,3.00e-05,3.00e-04
26,0.820772,0.620027,0.642867,3.00e-05,3.00e-04
27,0.816986,0.620027,0.638299,3.00e-05,3.00e-04
28,0.815413,0.620027,0.634645,3.00e-05,3.00e-04
29,0.812180,0.620027,0.631721,3.00e-05,3.00e-04
30,0.789036,0.674897,0.640356,1.00e-05,1.00e-04
31,0.776361,0.674897,0.647265,2.00e-05,1.00e-04
32,0.763697,0.674897,0.652791,3.00e-05,5.00e-05
33,0.757151,0.674897,0.657212,4.00e-05,5.00e-05
34,0.754634,0.674897,0.660749,5.00e-05,5.00e-05
35,0.749623,0.692730,0.667145,5.00e-05,5.00e-05
36,0.744087,0.692730,0.672262,5.00e-05,5.00e-05
37,0.743443,0.692730,0.676356,5.00e-05,5.00e-05
38,0.736418,0.692730,0.679631,5.00e-05,5.00e-05
39,0.733583,0.692730,0.682250,5.00e-05,5.00e-05
40,0.731811,0.631001,0.672001,5.00e-05,5.00e-05
41,0.729507,0.631001,0.663801,5.00e-05,5.00e-05
42,0.729545,0.631001,0.657241,5.00e-05,5.00e-05
43,0.727471,0.631001,0.651993,5.00e-05,5.00e-05
44,0.725192,0.631001,0.647795,5.00e-05,5.00e-05
45,0.722593,0.618656,0.641967,5.00e-05,5.00e-05
46,0.722209,0.618656,0.637305,5.00e-05,5.00e-05
47,0.722178,0.618656,0.633575,2.50e-05,2.50e-05
48,0.715628,0.618656,0.630591,2.50e-05,2.50e-05
49,0.714097,0.618656,0.628204,2.50e-05,2.50e-05
50,0.713214,0.707819,0.644127,2.50e-05,2.50e-05
51,0.713146,0.707819,0.656865,2.50e-05,2.50e-05
52,0.711427,0.707819,0.667056,2.50e-05,2.50e-05
53,0.710010,0.707819,0.675209,2.50e-05,2.50e-05
54,0.709474,0.707819,0.681731,2.50e-05,2.50e-05
55,0.711327,0.591221,0.663629,1.25e-05,1.25e-05
56,0.707979,0.591221,0.649147,1.25e-05,1.25e-05
57,0.707241,0.591221,0.637562,1.25e-05,1.25e-05
58,0.706866,0.591221,0.628294,1.25e-05,1.25e-05
59,0.705686,0.591221,0.620879,1.25e-05,1.25e-05
