epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.252876,0.676269,0.676269,0.00e+00,1.00e-03
1,1.429235,0.676269,0.676269,0.00e+00,1.00e-03
2,1.438776,0.676269,0.676269,0.00e+00,1.00e-03
3,1.483947,0.676269,0.676269,0.00e+00,1.00e-03
4,1.496827,0.676269,0.676269,0.00e+00,1.00e-03
5,1.230531,0.657064,0.672428,2.00e-06,5.00e-04
6,1.142166,0.657064,0.669355,4.00e-06,5.00e-04
7,1.093455,0.657064,0.666897,6.00e-06,5.00e-04
8,1.047939,0.657064,0.664931,8.00e-06,2.50e-04
9,0.933562,0.657064,0.663357,1.00e-05,2.50e-04
10,0.902445,0.724280,0.675542,1.00e-05,2.50e-04
11,0.875589,0.724280,0.685289,1.00e-05,2.50e-04
12,0.854910,0.724280,0.693088,1.00e-05,2.50e-04
13,0.843403,0.724280,0.699326,1.00e-05,2.50e-04
14,0.834281,0.724280,0.704317,1.00e-05,2.50e-04
15,0.837446,0.544582,0.672370,6.00e-06,3.00e-04
16,0.842874,0.544582,0.646812,1.20e-05,3.00e-04
17,0.839849,0.544582,0.626366,1.80e-05,3.00e-04
18,0.840612,0.544582,0.610009,2.40e-05,3.00e-04
19,0.827589,0.544582,0.596924,3.00e-05,3.00e-04
20,0.826447,0.657064,0.608952,3.00e-05,3.00e-04
21,0.828521,0.657064,0.618574,3.00e-05,3.00e-04
22,0.819986,0.657064,0.626272,1.50e-05,1.50e-04
23,0.793359,0.657064,0.632431,1.50e-05,1.50e-04
24,0.775654,0.657064,0.637358,1.50e-05,1.50e-04
25,0.768254,0.727023,0.655291,1.50e-05,1.50e-04
26,0.763133,0.727023,0.669637,1.50e-05,1.50e-04
27,0.759165,0.727023,0.681114,1.50e-05,1.50e-04
28,0.755609,0.727023,0.690296,1.50e-05,1.50e-04
29,0.754399,0.727023,0.697642,1.50e-05,1.50e-04
30,0.742951,0.628258,0.683765,1.00e-05,5.00e-05
31,0.739772,0.628258,0.672663,2.00e-05,5.00e-05
32,0.737664,0.628258,0.663782,3.00e-05,5.00e-05
33,0.731711,0.628258,0.656677,4.00e-05,5.00e-05
34,0.729150,0.628258,0.650994,5.00e-05,5.00e-05
35,0.732890,0.753086,0.671412,5.00e-05,5.00e-05
36,0.726748,0.753086,0.687747,5.00e-05,5.00e-05
37,0.723031,0.753086,0.700815,5.00e-05,5.00e-05
38,0.722421,0.753086,0.711269,5.00e-05,5.00e-05
39,0.721659,0.753086,0.719633,5.00e-05,5.00e-05
40,0.718773,0.744856,0.724677,5.00e-05,5.00e-05
41,0.715763,0.744856,0.728713,5.00e-05,5.00e-05
42,0.715741,0.744856,0.731942,5.00e-05,5.00e-05
43,0.714314,0.744856,0.734524,5.00e-05,5.00e-05
44,0.713335,0.744856,0.736591,5.00e-05,5.00e-05
45,0.714235,0.754458,0.740164,5.00e-05,5.00e-05
46,0.709825,0.754458,0.743023,5.00e-05,5.00e-05
47,0.710905,0.754458,0.745310,5.00e-05,5.00e-05
48,0.710576,0.754458,0.747140,5.00e-05,5.00e-05
49,0.709587,0.754458,0.748603,5.00e-05,5.00e-05
50,0.709246,0.681756,0.735234,5.00e-05,5.00e-05
51,0.707481,0.681756,0.724538,5.00e-05,5.00e-05
52,0.708168,0.681756,0.715982,5.00e-05,5.00e-05
53,0.706028,0.681756,0.709137,5.00e-05,5.00e-05
54,0.705951,0.681756,0.703660,5.00e-05,5.00e-05
55,0.704811,0.707819,0.704492,5.00e-05,5.00e-05
56,0.705337,0.707819,0.705157,5.00e-05,5.00e-05
57,0.704817,0.707819,0.705690,2.50e-05,2.50e-05
58,0.700976,0.707819,0.706116,2.50e-05,2.50e-05
59,0.698996,0.707819,0.706456,2.50e-05,2.50e-05
60,0.697723,0.672154,0.699596,2.50e-05,2.50e-05
61,0.695957,0.672154,0.694107,2.50e-05,2.50e-05
62,0.697730,0.672154,0.689717,2.50e-05,2.50e-05
63,0.695139,0.672154,0.686204,2.50e-05,2.50e-05
64,0.694838,0.672154,0.683394,2.50e-05,2.50e-05
65,0.697118,0.624143,0.671544,1.25e-05,1.25e-05
66,0.691108,0.624143,0.662063,1.25e-05,1.25e-05
67,0.691760,0.624143,0.654479,1.25e-05,1.25e-05
68,0.691148,0.624143,0.648412,1.25e-05,1.25e-05
69,0.690573,0.624143,0.643558,1.25e-05,1.25e-05
