epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.216453,0.662879,0.662879,0.00e+00,1.00e-03
1,1.360958,0.662879,0.662879,0.00e+00,1.00e-03
2,1.400552,0.662879,0.662879,0.00e+00,1.00e-03
3,1.418613,0.662879,0.662879,0.00e+00,1.00e-03
4,1.386936,0.662879,0.662879,0.00e+00,1.00e-03
5,1.194588,0.532197,0.636742,2.00e-06,5.00e-04
6,1.099582,0.532197,0.615833,4.00e-06,5.00e-04
7,1.041488,0.532197,0.599106,6.00e-06,5.00e-04
8,1.004620,0.532197,0.585724,8.00e-06,2.50e-04
9,0.902688,0.532197,0.575019,1.00e-05,2.50e-04
10,0.865189,0.626894,0.585394,1.00e-05,2.50e-04
11,0.841065,0.626894,0.593694,1.00e-05,2.50e-04
12,0.825866,0.626894,0.600334,1.00e-05,2.50e-04
13,0.815581,0.626894,0.605646,1.00e-05,2.50e-04
14,0.809799,0.626894,0.609895,1.00e-05,2.50e-04
15,0.825422,0.668561,0.621629,6.00e-06,3.00e-04
16,0.827430,0.668561,0.631015,1.20e-05,1.50e-04
17,0.797685,0.668561,0.638524,1.80e-05,1.50e-04
18,0.778198,0.668561,0.644531,2.40e-05,1.50e-04
19,0.769791,0.668561,0.649337,3.00e-05,1.50e-04
20,0.765502,0.672348,0.653939,3.00e-05,1.50e-04
21,0.755053,0.672348,0.657621,3.00e-05,1.50e-04
22,0.754741,0.672348,0.660567,3.00e-05,1.50e-04
23,0.755637,0.672348,0.662923,3.00e-05,1.50e-04
24,0.751448,0.672348,0.664808,3.00e-05,1.50e-04
25,0.748287,0.746212,0.681089,3.00e-05,1.50e-04
26,0.750070,0.746212,0.694114,3.00e-05,1.50e-04
27,0.746311,0.746212,0.704533,3.00e-05,1.50e-04
28,0.745573,0.746212,0.712869,3.00e-05,1.50e-04
29,0.745191,0.746212,0.719538,3.00e-05,1.50e-04
30,0.738354,0.676136,0.710857,1.00e-05,1.00e-04
31,0.732889,0.676136,0.703913,2.00e-05,1.00e-04
32,0.733304,0.676136,0.698358,3.00e-05,1.00e-04
33,0.731704,0.676136,0.693914,4.00e-05,1.00e-04
34,0.730199,0.676136,0.690358,5.00e-05,1.00e-04
35,0.729746,0.651515,0.682590,5.00e-05,1.00e-04
36,0.728518,0.651515,0.676375,5.00e-05,1.00e-04
37,0.727912,0.651515,0.671403,2.50e-05,5.00e-05
38,0.717607,0.651515,0.667425,2.50e-05,5.00e-05
39,0.717384,0.651515,0.664243,2.50e-05,5.00e-05
40,0.714795,0.666667,0.664728,2.50e-05,5.00e-05
41,0.712469,0.666667,0.665116,2.50e-05,5.00e-05
42,0.709719,0.666667,0.665426,2.50e-05,5.00e-05
43,0.707897,0.666667,0.665674,2.50e-05,5.00e-05
44,0.709172,0.666667,0.665873,2.50e-05,5.00e-05
45,0.708705,0.717803,0.676259,1.25e-05,2.50e-05
46,0.704977,0.717803,0.684568,1.25e-05,2.50e-05
47,0.704298,0.717803,0.691215,1.25e-05,2.50e-05
48,0.702759,0.717803,0.696532,1.25e-05,2.50e-05
49,0.702423,0.717803,0.700786,1.25e-05,2.50e-05
50,0.701951,0.651515,0.690932,1.25e-05,2.50e-05
